blind_case_id,case_file,human_outcome_label,safety_judgment,safety_justification,detectability,detectability_justification,traceability,traceability_justification,contestability,contestability_justification,reversibility,reversibility_justification,remedy,remedy_justification,recurrence_prevention,recurrence_prevention_justification,burden_allocation,burden_allocation_justification,value_chain_assignability,value_chain_assignability_justification,notes
B0075_4caa5d3cc007,B0075_4caa5d3cc007.md,,,,,,,,,,,,,,,,,,,,
B0076_1bdea22b0608,B0076_1bdea22b0608.md,,,,,,,,,,,,,,,,,,,,
B0077_bb0cb87df189,B0077_bb0cb87df189.md,,,,,,,,,,,,,,,,,,,,
B0078_19d09f9b5f66,B0078_19d09f9b5f66.md,,,,,,,,,,,,,,,,,,,,
B0079_41b154d14612,B0079_41b154d14612.md,,,,,,,,,,,,,,,,,,,,
B0080_7a9880259e26,B0080_7a9880259e26.md,,,,,,,,,,,,,,,,,,,,
B0081_796a76f8785d,B0081_796a76f8785d.md,,,,,,,,,,,,,,,,,,,,
B0082_e788eaa99526,B0082_e788eaa99526.md,,,,,,,,,,,,,,,,,,,,
B0083_98cba4ef4f95,B0083_98cba4ef4f95.md,,,,,,,,,,,,,,,,,,,,
B0084_550050f14437,B0084_550050f14437.md,,,,,,,,,,,,,,,,,,,,
B0085_40a8c7566528,B0085_40a8c7566528.md,,,,,,,,,,,,,,,,,,,,
B0086_eb69ead91dd6,B0086_eb69ead91dd6.md,,,,,,,,,,,,,,,,,,,,
B0087_2f039d45986c,B0087_2f039d45986c.md,,,,,,,,,,,,,,,,,,,,
B0088_4e899932edf6,B0088_4e899932edf6.md,,,,,,,,,,,,,,,,,,,,
B0089_d2cb991504ba,B0089_d2cb991504ba.md,,,,,,,,,,,,,,,,,,,,
B0090_656a3b736883,B0090_656a3b736883.md,,,,,,,,,,,,,,,,,,,,
B0091_c9f5f8b0c511,B0091_c9f5f8b0c511.md,,,,,,,,,,,,,,,,,,,,
B0092_ccbeb685006b,B0092_ccbeb685006b.md,,,,,,,,,,,,,,,,,,,,
B0093_e4dc6ec76419,B0093_e4dc6ec76419.md,,,,,,,,,,,,,,,,,,,,
B0094_b317966044e6,B0094_b317966044e6.md,,,,,,,,,,,,,,,,,,,,
B0095_f43188b31ea0,B0095_f43188b31ea0.md,,,,,,,,,,,,,,,,,,,,
B0096_822e94b68488,B0096_822e94b68488.md,,,,,,,,,,,,,,,,,,,,
